"Timestamp","Prolific ID:","Anyanyelve:","18 éves koráig tanulmányait Magyarországon végezte?","Neme:","Kora:","Tegnap reggel Anna többek között egy banánt evett.","Tegnap reggel a kisfiú többek között egy ceruzát kapott.","Tegnap a műhelyben az asztalos többek között egy könyvespolcot készített.","Tavaly ilyenkor a katonaság többek között a helikoptert tesztelte.","Tegnap este én többek között a fánkot sütöttem.","Hallottam hogy Éva többek között a tulipánt szereti.","Tegnap este mi többek között ásványvizet vettünk.","Ma reggel Eszter többek között kávét ivott.","Régen az iskolában a diákok többek között németet tanultak.","Tavaly nyáron Marci többek között egy lepkét fedezett fel.","Múlt hétvégén a turisták többek között egy robogót béreltek ki.","Tíz évvel ez előtt a kertben a férfi többek között egy fenyőfát ültetett el.","Múltkor az állatkertben a gyerekek többek között az elefántot nézték meg.","Múltkor a könyhában a szerelő többek között a hűtőt üzemelte be.","Éjjel a szigeten a kalóz többek között az aranyat találta meg.","Ma ebédre a nagyi többek között levest tálalt fel.","Általában a műhelyben ez a szabó többek között ingeket foltozott be.","Tegnap este a bálon Péter többek között Marit kérte fel.","Tegnap reggel Anna többek között nem egy nem kettő alma eszik és más.","Ki adja majd többek között a könyveket gyerek nekik felnőtt nekik és oda?","Tegnap a reptéren az asztalos többek között csak egy hajtóművet épített.","Tavaly olyankor a hadsereg többek között az összes téglát megette.","Tegnap este én többek között sok tankot sütöttem.","Hallottam hogy Magdi sok árvaházat ültetett a kertben.","Tegnap este mi többek között jegesmedvéket repültünk.","Ma reggel Tilda többek között a kedvenc pincérét itta meg.","Régen az iskolában a diákok többek között holdat fogtak.","Tavaly nyáron Béla többek között orvosokat főzték a levesbe.","Múlt hétvégén az alpinisták többek között egy kutyaszánt bérelünk ki.","Tíz évvel ez előtt a kertben a flamingó többek között egy ügyvédet ásták el.","Múltkor az cirkuszban a gyerekek többek között az narancsot néztétek meg.","Múltkor a könyhában a szerelő többek között a leghíresebb koktélt rendeltem meg.","Éjjel a szigeten a kalózod többek között a kincseket kerested meg.","Ma ebédre a nagyi többek között mobiltelefont tálaltak fel.","Általában a szabók többek között citrommal ittuk ingeket.","Tegnap este a gálán Miklós többek között Nórát döntöttem el.","Most itt válassza ki a négyest, ez csak egy ellenörző kérdés.","Ki adja majd a könyveket gyerek nekik felnőtt nekik és oda ki?","Most ez mondat nincs jó, válaszolni kell egyes karika, jó?"
"2026/09/06 11:09:48 am GMT+8","5df2235d5a34251266ea645e","Magyar","Igen","Férfi","29","6","6","6","6","6","5","6","6","3","5","4","1","5","6","2","1","3","6","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1"
"2026/09/06 11:33:30 am GMT+8","60245c7c3df42d131232cedb","Magyar","Igen","Nő","55","7","7","7","7","6","7","7","7","7","7","7","7","7","6","6","7","4","7","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","2","3"
"2026/09/06 12:44:25 pm GMT+8","695243059cda2a858a8374c8","Magyar","Igen","Férfi","50","7","7","7","7","7","7","7","7","7","7","7","6","7","2","7","7","2","6","1","1","2","2","2","2","1","2","1","1","1","1","1","1","1","1","1","1","4","1","1"
"2026/09/06 12:46:35 pm GMT+8","5c48be0496d59b000183e68d","Magyar","Igen","Férfi","49","7","7","7","7","6","7","5","7","7","7","6","6","7","7","7","7","6","6","1","1","4","1","1","1","1","1","1","1","1","1","2","1","7","1","1","1","4","1","1"
"2026/09/06 12:50:21 pm GMT+8","6a23d1de59ebe30c551cc503","Magyar","Igen","Nő","33","6","5","7","6","6","6","4","6","7","4","4","6","6","3","3","6","6","6","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1","1","1","4","1","1"
"2026/09/06 12:50:44 pm GMT+8","6a4407786c0afee02f74e0d0","Magyar","Igen","Nő","31","7","7","7","6","2","4","5","7","7","6","3","6","7","1","5","7","1","3","1","1","4","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","4","1","1"
"2026/09/06 1:10:45 pm GMT+8","6150053fddd36a6892b8f13c","Magyar","Igen","Nő","50","7","7","7","7","7","7","7","7","7","7","7","7","7","6","7","7","5","7","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1"
"2026/09/06 1:12:02 pm GMT+8","6932bf332627def0f1f8a46b","Magyar","Igen","Nő","41","7","7","7","7","7","7","6","5","6","7","7","7","7","7","7","7","1","7","1","1","1","6","2","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1"
"2026/09/06 1:52:51 pm GMT+8","6a2d5bc0bd0691ccc75b8ce2","Magyar","Igen","Férfi","33","4","6","6","5","1","4","3","2","4","3","5","3","3","1","3","3","3","6","1","1","1","1","2","2","1","1","2","1","1","1","1","1","1","1","1","1","4","1","1"
"2026/09/06 2:32:18 pm GMT+8","5a913d2cf0536100017196d8","Magyar","Igen","Férfi","28","6","7","6","4","6","5","5","7","5","6","6","5","7","7","5","7","3","5","3","1","6","5","1","2","1","2","1","1","2","1","3","1","5","2","1","1","4","1","1"
"2026/09/06 2:47:50 pm GMT+8","5c69824b98f65b0001353794","Magyar","Igen","Férfi","50","5","5","5","5","6","5","5","6","5","6","6","5","5","1","5","6","1","6","1","1","6","1","1","3","1","2","2","3","2","1","2","4","3","4","1","3","4","1","1"
"2026/09/06 2:49:14 pm GMT+8","61242dd5be1a06b174975a1f","Magyar","Igen","Nő","24","7","7","7","7","5","7","6","5","6","6","5","4","7","1","7","6","2","7","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1"
"2026/09/09 10:33:31 pm GMT+8","693e69d41e0de9c8fad42703","Magyar","Igen","Nő","24","7","7","7","7","6","7","7","5","7","6","3","7","7","4","6","7","4","7","1","1","3","2","2","1","1","3","2","1","1","1","2","1","1","1","1","2","4","1","1"
"2026/09/12 3:57:33 pm GMT+8","5c66cc9246bfc200019044b8","Magyar","Igen","Férfi","37","7","6","7","3","4","7","2","6","3","7","6","4","6","6","6","2","3","6","1","2","5","4","4","3","2","2","2","3","7","3","1","3","2","3","2","5","4","1","1"
"2026/09/12 7:01:21 pm GMT+8","608c08b442036ab091bbba75","Magyar","Igen","Férfi","25","5","7","7","4","7","6","7","7","7","2","7","7","6","4","3","7","4","7","1","1","1","1","1","1","1","1","1","1","1","1","3","1","3","1","1","1","4","1","1"
