participant_id,group,trial,label,no,item,exp,condition,cb,left,right,target,r1,r2,r3,r4,r5,r6,r7,sentence_rt,question_rt,choice_rt,choice,chosen_type,mismatch
participant_001,b,34,experiment,2,1,1,unmodified,y,1b,1a,,477.0,444.0,428.0,380.0,409.0,412.0,469.0,3019.0,,1595.0,right,A,False
participant_001,b,26,experiment,4,2,1,exhaustive,y,2b,2a,2a,557.0,641.0,525.0,502.0,513.0,549.0,865.0,4152.0,,1288.0,right,A,False
participant_001,b,49,experiment,9,3,1,contrastive,n,3a,3b,3b,499.0,434.0,466.0,404.0,424.0,557.0,701.0,3485.0,,3059.0,left,A,True
participant_001,b,25,experiment,11,4,1,unmodified,n,4a,4b,,518.0,649.0,557.0,609.0,522.0,761.0,780.0,4396.0,,1406.0,left,A,False
participant_001,b,13,experiment,13,5,1,exhaustive,n,5a,5b,5a,633.0,666.0,558.0,476.0,450.0,584.0,731.0,4098.0,,2774.0,left,A,False
participant_001,b,15,experiment,18,6,1,contrastive,y,6b,6a,6b,569.0,464.0,484.0,500.0,468.0,548.0,886.0,3919.0,,2588.0,right,A,True
participant_001,b,37,experiment,20,7,1,unmodified,y,7b,7a,,501.0,454.0,418.0,400.0,367.0,411.0,483.0,3034.0,,1060.0,right,A,False
participant_001,b,17,experiment,22,8,1,exhaustive,y,8b,8a,8a,468.0,436.0,426.0,389.0,430.0,434.0,468.0,3051.0,,1222.0,right,A,False
participant_001,b,12,experiment,27,9,1,contrastive,n,9a,9b,9b,611.0,634.0,584.0,650.0,649.0,733.0,947.0,4808.0,,4462.0,left,A,True
participant_001,b,21,experiment,29,10,1,unmodified,n,10a,10b,,570.0,629.0,505.0,531.0,481.0,500.0,587.0,3803.0,,2117.0,left,A,False
participant_001,b,39,experiment,31,11,1,exhaustive,n,11a,11b,11a,433.0,436.0,413.0,438.0,386.0,477.0,770.0,3353.0,,1753.0,left,A,False
participant_001,b,41,experiment,36,12,1,contrastive,y,12b,12a,12b,632.0,452.0,399.0,397.0,385.0,489.0,685.0,3439.0,,2724.0,right,A,True
participant_001,b,14,experiment,38,13,1,unmodified,y,13b,13a,,500.0,467.0,433.0,535.0,516.0,620.0,945.0,4016.0,,1436.0,right,A,False
participant_001,b,29,experiment,40,14,1,exhaustive,y,14b,14a,14a,508.0,485.0,466.0,466.0,433.0,536.0,1042.0,3936.0,,3493.0,right,A,False
participant_001,b,46,experiment,45,15,1,contrastive,n,15a,15b,15b,379.0,382.0,369.0,369.0,348.0,448.0,1308.0,3603.0,,4214.0,left,A,True
participant_001,b,18,experiment,47,16,1,unmodified,n,16a,16b,,544.0,431.0,368.0,404.0,381.0,397.0,856.0,3381.0,,1814.0,left,A,False
participant_001,b,23,experiment,49,17,1,exhaustive,n,17a,17b,17a,492.0,469.0,461.0,469.0,436.0,497.0,690.0,3514.0,,2108.0,left,A,False
participant_001,b,43,experiment,54,18,1,contrastive,y,18b,18a,18b,500.0,489.0,443.0,451.0,422.0,460.0,685.0,3450.0,,8221.0,left,B,False
participant_002,a,36,experiment,1,1,1,exhaustive,n,1a,1b,1a,559.0,532.0,556.0,696.0,584.0,756.0,906.0,4589.0,,745.0,left,A,False
participant_002,a,50,experiment,6,2,1,contrastive,y,2b,2a,2b,467.0,544.0,588.0,586.0,466.0,589.0,819.0,4059.0,,1456.0,left,B,False
