participant,group,trial,label,no,item,exp,condition,cb,left,right,target,r1,r2,r3,r4,r5,r6,r7,sentence_rt,question_rt,choice_rt,choice,chosen_type,mismatch,dominant,prop_left,prop_right,total_dwell,dwell_left,dwell_right,fixations_left,fixations_right,total_fixation,revisits_left,revisits_right,total_revisits,transitions,ffs,ffd,fvs,fvd,cxt
participant_001,b,34,experiment,2,1,1,unmodified,y,1b,1a,,477.0,444.0,428.0,380.0,409.0,412.0,469.0,3019.0,,2595.0,right,A,False,right,0.0,1.0,1228.0,0.0,1228.0,0.0,5.0,5.0,0.0,4.0,4.0,0.0,right,154.0,right,1228.0,unmodified.A
participant_001,b,26,experiment,4,2,1,exhaustive,y,2b,2a,2a,557.0,641.0,525.0,502.0,513.0,549.0,865.0,4152.0,,2288.0,right,A,False,right,0.0,1.0,355.9,0.0,355.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,right,355.9,right,355.9,exhaustive.A
participant_001,b,49,experiment,9,3,1,contrastive,n,3a,3b,3b,499.0,434.0,466.0,404.0,424.0,557.0,701.0,3485.0,,4059.0,left,A,True,left,0.523,0.477,2370.0,1239.0,1131.0,6.0,4.0,10.0,5.0,3.0,8.0,7.0,left,64.0,left,131.0,contrastive.A
participant_001,b,25,experiment,11,4,1,unmodified,n,4a,4b,,518.0,649.0,557.0,609.0,522.0,761.0,780.0,4396.0,,2406.0,left,A,False,left,0.882,0.118,1097.0,968.0,129.0,3.0,2.0,5.0,2.0,1.0,3.0,1.0,right,63.0,right,129.0,unmodified.A
participant_001,b,13,experiment,13,5,1,exhaustive,n,5a,5b,5a,633.0,666.0,558.0,476.0,450.0,584.0,731.0,4098.0,,3774.0,left,A,False,left,0.699,0.301,2532.0,1770.0,762.0,4.0,4.0,8.0,3.0,3.0,6.0,4.0,left,273.0,left,1037.0,exhaustive.A
participant_001,b,15,experiment,18,6,1,contrastive,y,6b,6a,6b,569.0,464.0,484.0,500.0,468.0,548.0,886.0,3919.0,,3588.0,right,A,True,right,0.21,0.79,2064.0,434.0,1630.0,2.0,5.0,7.0,1.0,4.0,5.0,2.0,right,385.0,right,385.0,contrastive.A
participant_001,b,37,experiment,20,7,1,unmodified,y,7b,7a,,501.0,454.0,418.0,400.0,367.0,411.0,483.0,3034.0,,2060.0,right,A,False,right,0.0,1.0,1005.0,0.0,1005.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,right,301.0,right,1005.0,unmodified.A
participant_001,b,17,experiment,22,8,1,exhaustive,y,8b,8a,8a,468.0,436.0,426.0,389.0,430.0,434.0,468.0,3051.0,,2222.0,right,A,False,right,0.06,0.94,1049.0,63.0,986.0,1.0,2.0,3.0,0.0,1.0,1.0,2.0,right,103.0,right,103.0,exhaustive.A
participant_001,b,12,experiment,27,9,1,contrastive,n,9a,9b,9b,611.0,634.0,584.0,650.0,649.0,733.0,947.0,4808.0,,5462.0,left,A,True,right,0.437,0.563,3931.0,1716.0,2215.0,6.0,8.0,14.0,5.0,7.0,12.0,7.0,right,616.0,right,616.0,contrastive.A
participant_001,b,21,experiment,29,10,1,unmodified,n,10a,10b,,570.0,629.0,505.0,531.0,481.0,500.0,587.0,3803.0,,3117.0,left,A,False,left,0.618,0.382,1434.0,886.0,548.0,5.0,4.0,9.0,4.0,3.0,7.0,6.0,left,134.0,left,134.0,unmodified.A
