Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6a9cd7cf6d065eb2b6567c70,5df2235d5a34251266ea645e,APPROVED,Not Applicable,2026-09-06T03:02:39.588000Z,2026-09-06T03:09:42.098000Z,2026-09-11T08:41:36.598000Z,2026-09-06T03:09:42.441203Z,423.0,CY1NIQEQ,1896,29,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Unemployed (and job seeking)
6a9cdd9d3acd7eea04cd943c,60245c7c3df42d131232cedb,APPROVED,Not Applicable,2026-09-06T03:27:54.453000Z,2026-09-06T03:33:41.699000Z,2026-09-11T08:42:30.093000Z,2026-09-06T03:33:42.089410Z,348.0,CY1NIQEQ,1259,55,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Part-Time
6a9cecf609c2953c3dcd7a5f,695243059cda2a858a8374c8,APPROVED,Not Applicable,2026-09-06T04:32:54.953000Z,2026-09-06T04:44:36.737000Z,2026-09-11T08:42:47.914000Z,2026-09-06T04:44:37.084996Z,702.0,CY1NIQEQ,367,50,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
6a9cee0a044b7f533b9351b7,5c48be0496d59b000183e68d,APPROVED,Not Applicable,2026-09-06T04:40:03.420000Z,2026-09-06T04:46:29.237000Z,2026-09-11T08:43:18.247000Z,2026-09-06T04:46:29.588543Z,386.0,CY1NIQEQ,4043,49,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
6a9cef78a4613cee9126b29b,6a4407786c0afee02f74e0d0,APPROVED,Not Applicable,2026-09-06T04:43:43.194000Z,2026-09-06T04:50:53.560000Z,2026-09-11T08:44:07.228000Z,2026-09-06T04:50:53.890218Z,431.0,CY1NIQEQ,126,31,Female,Prefer not to say,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
6a9cef86940c37504134c135,6a23d1de59ebe30c551cc503,APPROVED,Not Applicable,2026-09-06T04:44:28.564000Z,2026-09-06T04:50:30.997000Z,2026-09-11T08:43:45.832000Z,2026-09-06T04:50:31.383921Z,363.0,CY1NIQEQ,290,33,Female,White,Hungary,Hungary,Hungary,Hungarian,Yes,Full-Time
6a9cf4557e4d71c5b23537da,6932bf332627def0f1f8a46b,APPROVED,Not Applicable,2026-09-06T05:04:30.060000Z,2026-09-06T05:12:15.281000Z,2026-09-11T08:45:00.600000Z,2026-09-06T05:12:15.633258Z,466.0,CY1NIQEQ,820,41,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
6a9cf4f85d95eb2b48ca9403,6150053fddd36a6892b8f13c,APPROVED,Not Applicable,2026-09-06T05:07:10.894000Z,2026-09-06T05:10:39.390000Z,2026-09-11T08:44:39.165000Z,2026-09-06T05:10:39.773821Z,209.0,CY1NIQEQ,852,50,Female,White,Hungary,Hungary,Hungary,Hungarian,DATA_EXPIRED,Full-Time
6a9cfe0f1a250109b505f12c,6a2d5bc0bd0691ccc75b8ce2,APPROVED,Not Applicable,2026-09-06T05:46:00.373000Z,2026-09-06T05:52:59.538000Z,2026-09-11T08:45:17.280000Z,2026-09-06T05:52:59.934779Z,420.0,CY1NIQEQ,30,33,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
6a9d02ad10bc7d7ab3b7ee9a,693e69d41e0de9c8fad42703,APPROVED,Not Applicable,2026-09-06T06:05:33.321000Z,2026-09-06T06:14:35.889000Z,2026-09-11T08:46:45.308000Z,2026-09-09T14:33:28.687311Z,543.0,CY1NIQEQ,21,24,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
